;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kurva CP;(Multiple Items);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kurva Remaining;(All);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moth Program;(All);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Count of Site ID Actual;;Vendor;General Status;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;EID;;EID Total;HWI;;HWI Total;Grand Total;;;;;;;;;;;;;;Update;13-Nov-25;EID;;EID Total;HWI;;HWI Total;Grand Total;;Total;Percentage Program;;All;;;
sett#all;Part;Done;NY Done;;Done;NY Done;;;;;;;;;;;;;;;;sett#all;Part;Done;NY Done;;Done;NY Done;;Done;NY Done;;EID;HWI;;;;
;;Reeng;57;1;58;1;;1;59;;;;;;;;;;;;;;Reeng;57;1;58;1;;1;59;98,28%;100,00%;98,31%;;;;;
;;Capacity Upgrade;443;2;445;18;;18;463;;;;;;;;;;;;;;Capacity Upgrade;443;2;445;18;;18;463;99,55%;100,00%;99,57%;;;;;
;CP2 P2 2024;New Site;37;6;43;4;;4;47;;;;;;;;;;;;;CP2 P2 2024;New Site;37;6;43;4;;4;47;86,05%;100,00%;87,23%;;;;;
;;Capacity Upgrade;26;;26;4;;4;30;;;;;;;;;;;;;;Capacity Upgrade;26;;26;4;;4;30;100,00%;100,00%;100,00%;;;;;
;CP2 P3 2024;New NE;9;;9;;;;9;;;;;;;;;;;;;CP2 P3 2024;New NE;9;;9;;;;9;100,00%;;100,00%;;;;;
;;Reeng;1;;1;;;;1;;;;;;;;;;;;;;Reeng;1;;1;;;;1;100,00%;;100,00%;;;;;
;;Capacity Upgrade;10;;10;;;;10;;;;;;;;;;;;;;Capacity Upgrade;10;;10;;;;10;100,00%;;100,00%;;;;;
;CP2 P5 2024;Capacity Upgrade;61;1;62;;;;62;;;;;;;;;;;;;CP2 P5 2024;Capacity Upgrade;61;1;62;;;;62;98,39%;;98,39%;;;;;
CP2 2024 Total;;;1176;11;1187;45;;45;1232;;;;;;;;;;;;CP2 2024 Total;;;1176;11;1187;45;;45;1232;99,07%;100,00%;99,11%;;;;;
CP3 2024;CP3 P1 2024;New NE;78;1;79;1;;1;80;;;;;;;;;;;;CP3 2024;CP3 P1 2024;New NE;78;1;79;1;;1;80;98,73%;100,00%;98,75%;;;;;
;;Reeng;6;;6;;;;6;;;;;;;;;;;;;;Reeng;6;;6;;;;6;100,00%;;100,00%;;;;;
;;Capacity Upgrade;84;;84;3;;3;87;;;;;;;;;;;;;;Capacity Upgrade;84;;84;3;;3;87;100,00%;100,00%;100,00%;;;;;
;CP3 P3 2024;Reeng;4;3;7;;;;7;;;;;;;;;;;;;CP3 P3 2024;Reeng;4;3;7;;;;7;57,14%;;57,14%;;;;;
CP3 2024 Total;;;172;4;176;4;;4;180;;;;;;;;;;;;CP3 2024 Total;;;172;4;176;4;;4;180;97,73%;100,00%;97,78%;;;;;
CP4 2024;CP4 P1 2024;New NE;11;1;12;;;;12;;;;;;;;;;;;CP4 2024;CP4 P1 2024;New NE;9;3;12;;;;12;75,00%;;75,00%;;;;;
;;Capacity Upgrade;28;4;32;;;;32;;;;;;;;;;;;;;Capacity Upgrade;27;5;32;;;;32;84,38%;;84,38%;;;;;
CP4 2024 Total;;;39;5;44;;;;44;;;;;;;;;;;;CP4 2024 Total;;;36;8;44;;;;44;81,82%;;81,82%;;;;;
N3T;N3T;New Site;16;3;19;;;;19;;;;;;;;;;;;N3T;N3T;New Site;15;4;19;;;;19;78,95%;;78,95%;;;;;
N3T Total;;;16;3;19;;;;19;;;;;;;;;;;;N3T Total;;;15;4;19;;;;19;78,95%;;78,95%;;;;;
CP 5G 2024;CP 5G 2024;New NE;22;;22;;;;22;;;;;;;;;;;;CP 5G 2024;CP 5G 2024;New NE;22;;22;;;;22;100,00%;;100,00%;;;;;
CP 5G 2024 Total;;;22;;22;;;;22;;;;;;;;;;;;CP 5G 2024 Total;;;22;;22;;;;22;100,00%;;100,00%;;;;;
CP1B 2025;CP1B P1 2025;New NE;17;4;21;2;;2;23;;;;;;;;;;;;CP1B 2025;CP1B P1 2025;New NE;14;7;21;1;1;2;23;66,67%;50,00%;65,22%;;;;;
;;Capacity Upgrade;59;5;64;8;;8;72;;;;;;;;;;;;;;Capacity Upgrade;51;13;64;8;;8;72;79,69%;100,00%;81,94%;;;;;
;CP1B P2 2025;New NE;90;3;93;;;;93;;;;;;;;;;;;;CP1B P2 2025;New NE;80;13;93;;;;93;86,02%;;86,02%;;;;;
;;Reeng;3;;3;4;;4;7;;;;;;;;;;;;;;Reeng;3;;3;4;;4;7;100,00%;100,00%;100,00%;;;;;
;;Capacity Upgrade;37;1;38;;;;38;;;;;;;;;;;;;;Capacity Upgrade;7;31;38;;;;38;18,42%;;18,42%;;;;;
;CP1B P3 2025;New NE;46;4;50;;;;50;;;;;;;;;;;;;CP1B P3 2025;New NE;;50;50;;;;50;0,00%;;0,00%;;;;;
;;Capacity Upgrade;90;3;93;2;;2;95;;;;;;;;;;;;;;Capacity Upgrade;;93;93;;2;2;95;0,00%;0,00%;0,00%;;;;;
CP1B 2025 Total;;;342;20;362;16;;16;378;;;;;;;;;;;;CP1B 2025 Total;;;155;207;362;13;3;16;378;42,82%;81,25%;44,44%;;;;;
Grand Total;;;3733;48;3781;226;3;229;4010;;;;;;;;;;;;Grand Total;;;3538;243;3781;220;9;229;4010;93,57%;96,07%;93,72%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kurva CP;(Multiple Items);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Part;New NE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Count of sowID;;;Vendor;General Status;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;EID;;EID Total;HWI;;HWI Total;Grand Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sett#all;Settlement;Prog.Name;Done;NY Done;;Done;NY Done;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CO 2023;CO 2023;Collocated 5G;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;New LTE 4G;7;1;8;1;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CO 2023 Total;;;8;1;9;1;;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CP1 2024;CP1 P1 2024;New LTE 4G;77;;77;7;;7;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CP1 P2 2024;New LTE 4G (Collo TP);;;;4;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;New LTE 4G (New Infra);;;;1;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CP1 P3 2024;New LTE 4G (New Infra);;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CP1 P2B 2024;New LTE 4G;452;2;454;71;;71;525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CP1 P2D 2024;New LTE 4G;187;2;189;29;;29;218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CP1 2024 Total;;;716;4;720;113;1;114;834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CP2 2024;CP2 P1 2024;New LTE 4G;491;3;494;18;;18;512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CP2 P3 2024;New LTE 4G;6;3;9;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CP2 P5 2024;New LTE 4G;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CP2 2024 Total;;;498;6;504;18;;18;522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CP3 2024;CP3 2024 Accell 1;New LTE 4G;65;8;73;1;;1;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CP3 2024 Accell 2;New LTE 4G;;5;5;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CP3 2024 Total;;;65;13;78;1;;1;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grand Total;;;1287;24;1311;133;1;134;1445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Track;(Multiple Items);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Part;Capacity Upgrade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Count of sowID;;;Vendor;General Status;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
